file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-D-2015-M-D-B08-3-R-01a_0017_135489_to_145437,རྫོགས་སོང་། རྒན་ལགས་རྫོགས་སོང་། འོ། རྫོགས་སོང་ངེ་། འོ། བཤད་འདི་འདི་བཤད། མུ་མཐུད་ནས་འདི་བཤད་ཤོག ལྷོད་ལྷོད་བྱེད་ནས་བཤད་ཨ། འོ།  ,rdzogs song /_rgan lags rdzogs song /_'o/_rdzogs song nge /_'o/_bshad 'di 'di bshad/_mu mthud nas 'di bshad shog_lhod lhod byed nas bshad a/_'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0017_135489_to_145437.wav,STT_CS,3,125,9.948,wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0017_135489_to_145437.wav,ྲོརྒན་ལགས་རྫོགས་སོང་། རྫོགས་སོང་ངེ་། ཕབ་དི་བ་་་ ལབ་ཡིན་པ། ་ལབ་ཡིན་པ།
STT_CS-D-2015-M-D-B08-3-R-01a_0018_145437_to_155385,སྔོན་མ་སྔོན་མ་སྤོ་པོ་གཅིག་ཡོད་རེད་ད་རཱ། ཁོ་རང་པ་ལགས་རེད་ད་རཱ། སྤོ་པོ་རེད་དཱ། ཨེ་ནས་འོ་ཁོ་རང་པ་ལགས་ཀྱིས་ལབ་སོང་དཱ། གཡག་ཆེན། གཡང་ཆེན་པོ་དང་ ,sngon ma sngon ma spo po gcig yod red da rA/_kho rang pa lags red da rA/_spo po red dA/_e nas 'o kho rang pa lags kyis lab song dA/_g.yag chen/_g.yang chen po dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0018_145437_to_155385.wav,STT_CS,3,138,9.948,wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0018_145437_to_155385.wav,སྔོན་མ་སྔོན་མ་སྤོ་སཔོ་གཅིག་ཡོད་རེད་ད་རཱ། ཁོ་རང་པ་ལགས་། སྤོ་སྤོ་རེད་ད། ཨ་ནས་ཁོ་རང་པ་ལགས་ཀྱིས་ལབ་རེད་ད། གཡག་ེགཡང་ཆེན་པོ་དང་
STT_CS-D-2015-M-D-B08-3-R-01a_0019_155385_to_165332,ནག་པོ་འདྲ་བོ་དེ་ག་པར་ཡོད་རེད་ལབ་རེད་ད་རཱ། ཨེ་ནས་ཁོང་ཚོ་པ་ལགས་ཀྱིས་རཱ་ཨེ་འདྲའི་ལབ་རེད་དཱ། གཡག་ནག་པོ་ཆེན་པོ་ཨེ་ནས་རྭ་ཅོ་ ,nag po 'dra bo de ga par yod red lab red da rA/_e nas khong tsho pa lags kyis rA e 'dra'i lab red dA/_g.yag nag po chen po e nas rwa co _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0019_155385_to_165332.wav,STT_CS,3,119,9.947,wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0019_155385_to_165332.wav,ནག་པོ་འདྲ་བོ་་ག་བར་ཡོད་རེད་ལབ་རེད་ད་རཱ། ཨེ་ནས་ཁོང་ཚོ་པ་ལགས་ཀྱིས་རཱ། ཨེ་འདྲའི་ལབ་རེད་ད། གཡག་ནག་པོ་ཆེན་པོ་
STT_CS-D-2015-M-D-B08-3-R-01a_0020_165332_to_175280,ཆེན་པོ་ལབ་རེད་ད་རཱ། ཡོད་རེད་ལབ་རེད་དཱ། ཨེ་ནས་ང་ཚོ་འཚོལ་གར་འགྲོ་ཡ་ཡིན་ལབ་རེད་ད་རཱ། ཨེ་ནས་འགྲོ་རེད་དཱ། ཨེ་ནས་པ་ལགས་དེ་གིས་བྷཡེ་ལབ་རེད་ད་རཱ། ཨོང་བྷའེ་བྷེ་རེད་ཤག་ལབ་སོང་དཱ།  ,chen po lab red da rA/_yod red lab red dA/_e nas nga tsho 'tshol gar 'gro ya yin lab red da rA/_e nas 'gro red dA/_e nas pa lags de gis b+haye lab red da rA/_ong b+ha'e b+he red shag lab song dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0020_165332_to_175280.wav,STT_CS,3,170,9.948,wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0020_165332_to_175280.wav,ཆེན་པོ་ལབ་རེད་དརཱ། ཡོད་རེད་ལབ་རེད་ད། ཨ་ནས་ང་ཚོ་འཚོལ་ཀ་འགྲོ་ཡ་ཡིན་ལབ་རེད་ད་རཱ། ཨེ་ནས་འགྲོ་རེད་དཱ། ཨ་ནས་པ་ལགས་དེ་ཡིས་བྷཡེ་ལབ་རེད་ད་རཱ། འོབྷའེ་བེ་རེད་ཤག་ལབ་སོང་དཱ།
STT_CS-D-2015-M-D-B08-3-R-01a_0021_175280_to_185228,ཨེ་ནས་གཞན་པ་གཅིག་ལ་འགྲོ་རེད་དཱ། ཡང་གཞན་པ་གཅིག་ལ་འགྲོ ཨེ་ནས་ཕ་གི་ལ་བ་ཕྱུགས་ཡིན་ས་རེད། ག་རེ་གཡག་ཡིན་ས་རེད་ལབ་རེད་ད་རཱ། བ་ཕྱུགས། གཡག་མ་རེད་ད་རཱ། བ་ཕྱུགས་རེད་འདུག་དཱ།  ,e nas gzhan pa gcig la 'gro red dA/_yang gzhan pa gcig la 'gro_e nas pha gi la ba phyugs yin sa red/_ga re g.yag yin sa red lab red da rA/_ba phyugs/_g.yag ma red da rA/_ba phyugs red 'dug dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0021_175280_to_185228.wav,STT_CS,3,164,9.948,wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0021_175280_to_185228.wav,ཨེ་ནས་གཞན་པ་གཅིག་ལ་འགྲོ་རེད་ད། ཡང་གཞན་པ་གཅིག་འགྲོ། ཨ་ནས་ཕ་གི་ལ་བ་ཕྱུགས་ཡིན་ས་རེད། ག་རེ་གཡག་ཡིན་ས་རེད་ལབ་རེད་ད་རཱ། བ་ཕྱུགས་གཡག་མ་རེད་ད། བ་ཕྱུགས་འགྲོ་རེད་ད།
STT_CS-D-2015-M-D-B08-3-R-01a_0022_185717_to_194982,ཨེ་ནས་ཁོང་ཚོ་ཡིས་འགྲོ་བྱས་རེད་ད་རཱ། ཨེ་ནས་ཕག་པ་མཐོང་རེད་ད་རཱ། སྙིང་། ཨེ་ཁྱི་སྙིང་རྗེ་མོ་འདུག་ག་ལབ་རེད་ད་ཨེ་ནས་ཁོ་རང་གཉིས། ཁོང་ཚོ་གཉིས་ ,e nas khong tsho yis 'gro byas red da rA/_e nas phag pa mthong red da rA/_snying /_e khyi snying rje mo 'dug ga lab red da e nas kho rang gnyis/_khong tsho gnyis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0022_185717_to_194982.wav,STT_CS,3,135,9.265,wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0022_185717_to_194982.wav,ཨེ་ནས་ཁོང་ཚོས་འགྲོ་བྱས་རེད་ད་རཱ། ཕག་པ་མཐོང་རེད་ད་རཱ། རྗེསྙིང་རྗེ་མོ་འདུག་ག་ལབ་རེད་ད། ཨ་ནས་ཁོ་རང་གཉས་ཁོང་ཚོ་གཉིས་
STT_CS-D-2015-M-D-B08-3-R-01a_0024_199707_to_207385,ད་ལྟ་གཡག་དེ་བདུན་འདུག་ལབ་རེད་ད་རཱ། ཨེ་ནས་ཁོང་ཚོ་གཉིས་འགྲོ་འགྲོ་མིག་བཙུམ་བསྡད་རེད་དཱ། ཨེ་ནས་དེ་ལ་སྟག་མཐོང་ ,da lta g.yag de bdun 'dug lab red da rA/_e nas khong tsho gnyis 'gro 'gro mig btsum bsdad red dA/_e nas de la stag mthong _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0024_199707_to_207385.wav,STT_CS,3,106,7.678,wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0024_199707_to_207385.wav,ད་ལྟ་རླ་དེ་འི་འདུག་ལབ་རེད་ད་རཱ། ཨེ་ནས་ཁོང་ཚོ་གཉིས་འགྲོ་འགྲོ ཨ་ནས་བཛུམ་བསྡད་རེད་ད། ཨེ་ནས་དེ་ལ་རྟ་ཐོན
STT_CS-D-2015-M-D-B08-3-R-01a_0025_207385_to_215063,ད་རཱ། ཁོང་ཚོ་གཉིས་དེ་གཡག་རེད་བསམ་རེད་དཱ། མ་རེད་ལབ་ནས་འགྲོ་རེད་ད་རཱ། ཨེ་ནས་འགྲོ་འགྲོ་འགྲོ། འཚོལ་ནས་བསྡད་བསྡད་བསྡད་བྱས་རེད་ད་རཱ།  ,da rA/_khong tsho gnyis de g.yag red bsam red dA/_ma red lab nas 'gro red da rA/_e nas 'gro 'gro 'gro/_'tshol nas bsdad bsdad bsdad byas red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0025_207385_to_215063.wav,STT_CS,3,128,7.678,wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0025_207385_to_215063.wav,ཱ། ཁོང་ཚོ་གཉིས་དེས་གཡག་རེད་བསམ་རེད་ད། མ་རིག་ལབ་ནས་འགྲོ་རེད་ད་རཱ། ཨ་ནས་འགྲོ་འགྲོ་འགྲོ་འགྲོ་འགྲོ་འཚལ་ནས་བསྡད་བསྡད་ད་ད་བྱས་རེད་ད་རཱ།
STT_CS-D-2015-M-D-B08-3-R-01a_0026_216177_to_219990,ཨེ་ནས་རྗེས་ལ་རཱ་རི་བོ་མཐོང་རེད་དཱ། ཁོང་ཚོ་པ་ལགས་རག་མ་སོང་ལབ་རེད་ད་རཱ།  ,e nas rjes la rA ri bo mthong red dA/_khong tsho pa lags rag ma song lab red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0026_216177_to_219990.wav,STT_CS,3,71,3.813,wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0026_216177_to_219990.wav,ཨེ་ནས་རྗེས་ལ་རཱ། རི་བོང་མཐོང་རེད་ད། ཁོང་ཚོ་པ་ལགས་རག་མ་སོང་ལབ་རེད་ད་རཱ།
STT_CS-D-2015-M-D-B08-3-R-01a_0027_220581_to_227320,ཨེ་ནས་ཁོང་ཚོས་གཡག་དེ་སྟོན་ད་ག་རེ་རེད། སྟོན་དང་ལབ་རེད་ད་གཡག་ཀ་ཅིག་གདོང་པ་འདྲ་བོ་ག་འདྲའི། ཨེ་ནས་སྟོན་རེད་ད་རཱ་པ་ལགས་དེ་གིས་ ,e nas khong tshos g.yag de ston da ga re red/_ston dang lab red da g.yag ka cig gdong pa 'dra bo ga 'dra'i/_e nas ston red da rA pa lags de gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0027_220581_to_227320.wav,STT_CS,3,122,6.739,wav16k/STT_CS-D-2015-M-D-B08-3-R-01a_0027_220581_to_227320.wav,ཨེ་ནས་ཁོང་ཚོ་གཡག་གི་སྟནདེ་ག་རེ་སྟོན་དང་ལབ་རེད་ད། གཡག་ཀ་ཅི་གལུང་པ་དེ་ག་འདྲ། ཨེ་ནས་སྟོན་རེད་ད་རཱ། པ་ལགས་ཀྱིས་དེས།
